"UID","neighborhood","treeEquity","speciesRich","richPerSqKm","areaSqKm"
1,"22nd and Craycroft",63.732581895,33,115.95919563657,0.284582863988
2,"A Mountain",55.2679593531,0,0,2.28466061221
3,"Acacia Park",92.9665217369,3,10.8137932705433,0.277423465101
4,"Adelanto",74.004066591,173,1525.47913661753,0.113406991841
5,"Adobe Manor",0,3,72.3742906799007,0.0414511834495
6,"Aerospace Parkway",0,12,0.699380933866859,17.1580313659
7,"Agro Farms",90.7661576585,129,1139.34881927423,0.113222568732
8,"Airpark 10 Annexation District",0,9,Inf,0
9,"Airport Commerce Center",0,13,26.7874561570138,0.485301774226
10,"Aldea Linda",94.8074082247,3,14.6123222179556,0.205306176202
11,"Alvernon and 29th",56.6531533661,23,184.85010855876,0.124425136557
12,"Alvernon and Drexel",0,87,2531.14884887548,0.0343717438975
13,"Alvernon Heights",68.2387774035,0,0,0.202161322645
14,"Amphi",77.2547971463,36,13.8816844784484,2.59334521368
15,"Anklam Peaks",0,12,70.3407940086121,0.170598017397
16,"Antigua Village",100,15,703.513849044761,0.0213215418863
17,"Arcadia Rose",93.8446406689,0,0,0.160739004909
18,"Arcadia Square",0,110,1280.60460854456,0.0858969265502
19,"Armory Park",100,0,0,0.803246493214
20,"Arroyo Chico",76.6999195697,1,0.509873891917727,1.96126927825
21,"Arroyo Ridge",89.9585871001,18,27.404683432839,0.656822037157
22,"Automall",0,52,68.7934083162271,0.755886374476
23,"Aviation ROW",0,23,72.4650583565344,0.317394348692
24,"Avondale",87.1729454244,0,0,0.650819171918
25,"Bach Property",0,65,1601.48817644061,0.0405872493823
26,"Balboa Heights",80.7801615155,97,207.711835575988,0.466993128875
27,"Bandes Addition",0,7,4.4857647395513,1.56049200224
28,"Barrio Anita",65.2035669389,33,98.7509139053548,0.334174122496
29,"Barrio Blue Moon",82.155462486,11,33.0700780171433,0.332626974581
30,"Barrio Centro",68.0144002869,24,40.5849343882972,0.591352440548
31,"Barrio Hollywood",79.3800403151,12,9.56628858659662,1.25440497549
32,"Barrio Kroeger Lane",65.683972315,0,0,0.221149792642
33,"Barrio Nopal",69.2057177796,1,0.397894796332127,2.51322713747
34,"Barrio San Antonio",75.8589483263,34,72.5660733314299,0.468538511719
35,"Barrio Santa Cruz",61.6995471667,6,14.7564896945277,0.406600765101
36,"Barrio Santa Rosa",70.3964394061,5,8.3034084935639,0.602162353433
37,"Barrio Viejo",85.7982143917,10,19.5971606779362,0.510278002224
38,"Bear Canyon",93.2466569665,0,0,4.13274964473
39,"Bear Creek",0,2,6.03263638770592,0.331530009678
40,"Beautiful Acres",0,49,277.576005257139,0.176528226763
41,"Best Mailing List",0,15,926.37357631985,0.0161921716934
42,"Blenman-Elm",99.6082404206,0,0,1.87907242503
43,"Bonanza",83.6995849429,0,0,2.60037687405
44,"Bosque Perdido",0,42,479.767915815524,0.0875423274785
45,"Bravo Park Lane",70.6439151743,5,3.25988965089948,1.53379424933
46,"Brichta",80.730484933,51,109.099717340251,0.467462256029
47,"Broadkel",92.2950597585,36,212.193949995667,0.169656109426
48,"Broadmoor-Broadway",100,1,1.534915491305,0.65150166616
49,"Broadway and Rosemont",0,4,29.9569373427122,0.133524998041
50,"Broadway East",82.9616938023,21,16.1286519677398,1.30203069928
51,"Broadway Estates",0,41,480.558722139897,0.0853173568829
52,"Broadway Pantano Center",0,48,194.617485078976,0.246637654271
53,"Broadway Pantano East",83.6445562986,76,29.5100326072895,2.57539532441
54,"Broadway Proper",78.5846264503,29,113.990833519274,0.254406421154
55,"Broadway/Northeast",74.8417005745,85,62.3763632375733,1.36269566849
56,"Bronx Park",56.1077633802,19,27.4163789128886,0.693016392149
57,"Business Park of the Desert",0,16,16.5505208804667,0.966736945354
58,"Cabrini",98.3723374772,3,4.70367202758283,0.63779957072
59,"Campana de Plata",71.4232504595,30,57.6752554360459,0.520153743112
60,"Campbell-Grant",93.8101000611,34,52.0819815593841,0.65281694325
61,"Campus Farm",88.7608629571,55,19.0108256512954,2.89308844386
62,"Carriage Park",85.5117550731,0,0,2.5983313135
63,"Carson Corner",81.5559152819,31,11.9340295544521,2.59761381171
64,"Casa De Carlos",89.1756080457,68,223.105701372693,0.304788266645
65,"Casa Loma",100,5,32.7560332860339,0.152643635337
66,"Casa Real",85.1442725112,1,4.92610743941875,0.203000038529
67,"Casitas De Palo Santo",73.1661748354,169,529.037987306594,0.31944776
68,"Casitas Del Sol",68.3352925634,18,19.4130731104544,0.927210230837
69,"Casitas Del Sol 1",0,59,230.929349447467,0.255489395961
70,"Catalina Heights",82.8003006657,39,76.8079990856017,0.507759614419
71,"Catalina Highway",0,4,70.555733599788,0.0566927703238
72,"Catalina Vista",100,101,166.965796372794,0.604914312956
73,"Catalina Vista/Blenman-Elm",0,10,117.922920097054,0.0848011564823
74,"Centre Park",74.4864798042,2,20.1570124984087,0.0992210527308
75,"Century Park",0,96,28.4252048950449,3.37728436275
76,"Chantlalli Estates",0,0,0,0.182107567253
77,"Cherry Avenue",78.1250724372,1,0.309353018010232,3.23255291457
78,"Clarke Park",0,31,128.887402753957,0.240520014661
79,"Cloverleaf Addition",87.9279073772,0,0,0.163551996622
80,"Colinas De Oro",67.8922591689,7,44.0546435450907,0.158893579353
81,"College Terrace",80.6196906537,54,836.184143399725,0.0645790767814
82,"Colonia Allegre",93.8414219079,116,387.918596413646,0.299031809953
83,"Colonia Del Rio",88.3353057293,103,357.294536176154,0.288277568144
84,"Colonia Del Valle",79.7646484396,16,11.0536141836717,1.44749036235
85,"Colonia Solana",100,3,4.59429026674652,0.652984427587
86,"Colonia Verde",100,59,230.903893034266,0.255517562847
87,"Colonia Verde Plaza",0,37,498.45644623661,0.0742291533781
88,"Columbus Park",0,116,67.9947200268731,1.7060148193
89,"Columbus Village",60.6592239099,36,110.845602295081,0.324776078208
90,"Copper Vista",66.5764376063,67,107.226002914751,0.62484843395
91,"Corbett",75.3569049664,21,7.94924699103753,2.64175965644
92,"Coronado Heights",73.588372966,2,4.41311409404408,0.4531947186
93,"Cottonwood Manor",91.0090533612,0,0,0.105638592374
94,"Country Glenn",98.3922388535,16,28.5787366288426,0.559856798703
95,"Coyote Corridor",62.9028105847,0,0,2.59693145779
96,"Coyote Corridor East",78.621474833,32,17.9163248460133,1.78608058712
97,"Cragin",85.643480607,7,10.780872601024,0.649298091078
98,"Creekside",89.651808214,74,85.3963505742997,0.866547569098
99,"Crossroads Festival",0,0,0,0.123996365557
100,"Cushing Business Center",0,89,766.760157601444,0.116072802059
101,"Davis-Monthan",53.0813870544,94,2.18833137304596,42.955103216
102,"Del Lago",0,72,41.3767057263836,1.7401095311
103,"Desert Aire/Loma Linda",85.072511338,58,122.049206725513,0.47521816451
104,"Desert Anchors",0,16,502.927860562117,0.0318137077992
105,"Desert Links",0,262,2188.022251891,0.11974284072
106,"Desert Palms Park",86.8602666582,258,1066.03418657621,0.242018504893
107,"Desert Vista",55.318413029,19,19.9422074794917,0.952753100154
108,"Desert Willow Ranch",0,2,2.91059599906474,0.687144488841
109,"Dietz",80.7387104133,2,0.527624475506137,3.79057472283
110,"Dodge Flower",99.2257902974,23,37.7038930561009,0.610016582791
111,"Doolen-Fruitvale",91.2625551515,3,4.6446475127889,0.645904773557
112,"Dorado Country Club Estates",92.5919778782,40,45.750067984535,0.874315640657
113,"Dos Hombres",95.8806607691,3,24.7479761789857,0.121222033604
114,"Double Acres",0,43,357.326473060824,0.12033813121
115,"Dove - Wilmot Addition",87.6100995456,16,48.0835214194931,0.332754330957
116,"Downtown",66.8626651005,0,0,0.877396253459
117,"Drexel Park",76.8770052605,0,0,0.610439086025
118,"Duffy",80.3499977653,144,221.830493372517,0.649144298472
119,"Dunbar Spring",84.3980843159,23,36.8037790081421,0.624935825066
120,"Eastern Hills",82.3143175773,21,32.2780467784589,0.65059698761
121,"Eastland Heights",0,33,126.437649715081,0.260998208005
122,"Eastlawn",90.1037821479,23,69.5460234692147,0.33071624879
123,"Eastside",83.8534004423,15,5.80323931015982,2.58476330172
124,"Eastwind",100,2,15.8607602599125,0.126097360229
125,"El Con Mall",0,24,74.4717161985194,0.322270000278
126,"El Conquistador",94.6864354316,24,158.859161582565,0.151077216831
127,"El Cortez",82.2027699078,53,299.292603495215,0.177084229216
128,"El Dorado Medical Offices",0,21,322.854994541469,0.0650446805998
129,"El Dorado Office Condominium",0,18,428.479405688913,0.0420090201793
130,"El Dorado Place",0,0,0,0.101316827338
131,"El Dorado Square",0,0,0,0.0310771371799
132,"El Encanto",100,66,134.082079341879,0.492235803054
133,"El Gheko",83.5202670531,9,8.15364407888203,1.10380094016
134,"El Montevideo",100,21,62.3800822488645,0.336645917141
135,"El Presidio",86.1254909567,188,383.236131503414,0.490559173694
136,"El Principal",0,36,815.39976178522,0.0441501232735
137,"El Rio Acres",64.2366990545,0,0,2.43692456459
138,"El Rio Plaza",0,35,419.59225753653,0.0834143132323
139,"El Sahuaro",0,17,156.253035931861,0.108797886061
140,"Elvira",67.604117847,21,14.1505680710024,1.48403936115
141,"Empire Vista",60.1487304603,45,68.1964934391786,0.659857974078
142,"Enchanted Hills",80.3923098651,17,27.5036587671699,0.618099582456
143,"Estes Park",78.1141820045,50,51.096255520405,0.978545286553
144,"Evergreen",0,31,31.8799478057601,0.972398078845
145,"Fairgrounds",51.6981647699,0,0,1.81616834132
146,"Fairhaven",66.2947086609,39,107.108983283945,0.364115117185
147,"Fairview",0,18,77.3835896177041,0.232607457071
148,"Far Horizons",89.9191937356,35,84.022889792375,0.416553156961
149,"Feldman`s",93.5721193999,66,74.4692645097226,0.886271677779
150,"Flowing Wells",58.7804495321,10,0.909850054502175,10.9908220047
151,"Foothills Heights",89.6609249386,0,0,0.190108211617
152,"Fort Lowell Estates",92.1466756598,12,41.8278381415166,0.286890275309
153,"Frontier West Estates",88.9238698889,7,37.7599735865852,0.185381485608
154,"Garden District",91.3440597759,40,15.5302577168509,2.57561727109
155,"Gilbert",0,14,40.2572813704967,0.347763175341
156,"Glenn-Lowell Addition",94.2276078549,52,2376.352315274,0.0218822771631
157,"Glenn Heights",95.9564478001,20,82.2037225972383,0.24329798418
158,"Golden Hills",0,2,46.044780884327,0.0434359760561
159,"Goldschmidts",0,100,5099.85501360202,0.0196084005787
160,"Grabe Industrial",0,25,1.47081485766007,16.9973806491
161,"Grant and Craycroft Shopping Center",75.1533560636,42,356.757913409715,0.117726891041
162,"Grant Road Commerical Block",0,1,14.2224302726351,0.0703114714455
163,"Grant Road Industrial",0,1,1.27713724755434,0.783001202036
164,"Greasewood Park",62.0817312538,21,21.909497204018,0.958488449299
165,"Green Acres",92.9866892062,26,65.9251606480105,0.39438660057
166,"Groves Lincoln Park",72.0834953593,6,1.17091729109574,5.12418771644
167,"Haciendas Del Oeste",68.6887716791,0,0,0.532917863194
168,"Halcyon Acres",87.4582743221,77,59.5505978308437,1.29301808554
169,"Harlan Heights",82.6097567574,30,36.0072181863744,0.833166279181
170,"Harold Bell Wright Estates",91.7772906131,37,59.3435946471744,0.623487677482
171,"Harrison Estates",85.7492857781,157,483.070479413175,0.325004335166
172,"Haven Ridge",97.9828474919,14,27.6153081796761,0.506965191513
173,"Hedrick Acres",89.0854639223,95,73.1042596376601,1.29951387882
174,"Hermosa Hills",77.7642294602,0,0,0.324507421475
175,"Heromsa Highlands",82.6620904134,10,10.2536101038952,0.975266262192
176,"Hiawatha Hills and Teresa Terrace",0,43,187.705615169119,0.229082118621
177,"Hidden Hills",95.9152638386,52,53.7589640969312,0.96728054332
178,"Hidden Hills 1",83.8891077541,44,75.8884752362025,0.579798182307
179,"Highland Trails",78.4742268852,71,55.3581772834687,1.28255667878
180,"Highland Vista Cinco Via",89.940896549,26,39.9471199233031,0.650860438748
181,"Holiday Isle",81.1700378952,84,145.781809955755,0.576203574544
182,"Hollows Condo",100,2,21.2449067687209,0.0941402107231
183,"Houghton-Old Spanish Crossing",0,5,15.9717425267896,0.313052880211
184,"Houghton and Tanque Verde",0,0,0,0.663765833866
185,"Houghton East",85.1392627894,14,1.82631314987902,7.66571713122
186,"Houghton South",75.119501805,0,0,8.58687901121
187,"Indian Hills North",0,0,0,0.1634068714
188,"International Business Center",67.9657535607,27,27.7869528048684,0.971679053461
189,"Interstate Commerce Center",41.4398180523,32,109.975139914003,0.290974851453
190,"Interstate Commerce Park",0,21,3.15696399161749,6.65196057217
191,"Iron Horse",92.7424800918,21,77.1760349453268,0.272105194506
192,"Ironwood",73.0016960663,98,353.340842814973,0.277352595922
193,"Ironwood Ridge",80.3329599169,7,49.1099414122103,0.14253733152
194,"Irvington",66.9059123262,33,292.391321087807,0.11286244707
195,"Irvington & I-19 Commerce",0,92,242.418545149587,0.379508918937
196,"Jefferson Park",99.8287562372,93,82.6908855738249,1.12467050455
197,"Joaquin Murrieta",0,190,1167.26589823231,0.162773537964
198,"JT RP Annexation District",0,18,Inf,0
199,"Julia Keen",78.9673499906,4,1.72259569387927,2.32207709227
200,"Julian Wash Archaeological",0,27,170.816794187428,0.158064083385
201,"Keeling",84.0399501902,3,1.80741228248388,1.65983158855
202,"Kendall Square",91.6283227085,44,112.421958850796,0.391382612879
203,"Kingswood",84.628456248,140,433.763201793515,0.322756747048
204,"Kino Gateway",52.807096906,20,5.96842991371279,3.35096504259
205,"Kleindale",95.4775107312,75,155.539107659136,0.482193842621
206,"Kolb Executive Park",0,6,103.22004115051,0.0581282465413
207,"La Granada",0,88,3949.60250978513,0.0222807231315
208,"La Madera",95.3549065174,5,7.75654209748178,0.64461714217
209,"La Paloma Academy",0,63,373.577864058391,0.168639542278
210,"La Playa Caliente",0,23,269.480960256166,0.0853492579889
211,"Ladera Brisas",81.9793767764,127,1514.79479425135,0.0838397388755
212,"Lakeside Park",80.873667969,51,21.4005513877511,2.38311616724
213,"Las Colinas",94.4739355898,60,1262.7810788903,0.0475141740742
214,"Las Nubes",61.9282379836,4,14.7121385142723,0.271884335246
215,"Las Solinas",100,46,404.46388149364,0.113730797989
216,"Las Vistas",65.1641809212,3,1.0783807523035,2.78194876308
217,"Limberlost",85.6391115158,8,6.15776691952563,1.29917226562
218,"Lincoln Green",0,27,558.543187952771,0.0483400399152
219,"Linden Park",86.0958078345,63,211.91923585192,0.297283065158
220,"Linden Terrace",81.0871924386,0,0,0.149305727956
221,"Littletown",73.6848846791,11,6.03192312619064,1.82363066801
222,"Loma Verde",82.8642835159,18,64.478145906575,0.279164354789
223,"Longview Estates",78.3706690268,9,13.6410482562547,0.659773342263
224,"Loretta Heights",90.6116449784,39,429.979471884387,0.0907020045145
225,"Los Ranchitos",50.7068656146,7,3.08919192236762,2.26596474933
226,"Los Reales",0,56,11.034170263983,5.07514372719
227,"Marjack",100,23,141.379175116071,0.162683082435
228,"Maryland Hills",0,50,178.939592654284,0.279423906461
229,"McCall Addition",81.0456126401,91,550.876221098802,0.165191374241
230,"McCormick",93.1560724515,24,47.9948781679266,0.500053358111
231,"McIntyre-Richey",85.4909419874,109,1747.14429889631,0.0623875200628
232,"Mehl",0,10,20.7053776110273,0.482966318599
233,"Menlo Park",54.1625847275,104,17.8943043552592,5.81190517023
234,"Mesquite Ranch",69.8383829581,23,7.11474445152876,3.23272327723
235,"Michiana",0,29,17.0127371739681,1.70460518513
236,"Midvale Park",55.8401935061,19,1.93445562883384,9.82188462573
