"UID","neighborhood","treeEquity","speciesRich","richPerSqKm","areaSqKm"
237,"Milagro",0,110,528.207154697315,0.208251628214
238,"Miles",73.7772918448,42,90.1159965097693,0.466065977481
239,"Millville",52.6803775088,23,18.8293519882979,1.22149716115
240,"Minarik Estates",100,29,136.877083251543,0.211868921452
241,"Miracle Manor",79.7826324369,29,30.3960420125474,0.954071585637
242,"Miraflores Estates",96.6331672265,17,82.1337730481175,0.206979411381
243,"Miramonte",95.3541522494,5,3.82882225788168,1.30588459407
244,"Miramonte at the River",83.7494575539,40,87.0060609747351,0.459738086656
245,"Mission and 36th",0,3,15.3940143365622,0.194880941021
246,"Mission Circle",51.274359557,2,23.2609347520116,0.0859810674559
247,"Mission Creek",78.5428755411,23,135.098941846034,0.170245596936
248,"Mission De Oro",70.7617479387,107,196.483232390034,0.544575731468
249,"Mitman",82.2399069932,6,9.03476353788378,0.664101498046
250,"Montage Vista",0,49,76.1617646801691,0.64336744567
251,"Monte Catalina Estates",93.9808623156,29,93.7341356705621,0.309385687429
252,"Montrose Addition",94.8408436789,118,691.06785615262,0.17075023668
253,"Morris K Udall",72.7714467787,65,90.6047360410649,0.717401792005
254,"Mortimore",79.8030313286,60,129.247917088089,0.464224115574
255,"Mountain First Avenue",87.782146286,78,116.336999008149,0.670465979568
256,"Mountain Vail",0,32,401.881040297023,0.0796255528162
257,"Mountain View",81.515674143,14,21.191126537569,0.660653881481
258,"Myers",75.5305499932,70,30.509957079671,2.29433295554
259,"National City Northwest",70.5195972933,2,2.8483731496074,0.702155193492
260,"National City Southwest",72.3834288074,37,55.1277059974031,0.671168867461
261,"Naylor",59.5575181369,91,141.025083139949,0.645275279928
262,"NEC Speedway & Kolb",0,29,263.044789990918,0.110247384109
263,"North Dodge",93.5396854607,47,70.9926198886949,0.662040646953
264,"North University",81.9892271036,7,7.29779621573066,0.959193678896
265,"Northeast Center",86.2084526574,18,390.391845903407,0.0461075204026
266,"Northmall Centre",76.6677113964,42,89.8655433862607,0.467364892231
267,"Oak Flower",93.0392364067,25,30.7658814839337,0.812588451693
268,"Old Farm",76.4307854771,21,94.3417888230683,0.222594888882
269,"Old Fort Lowell",99.4556318322,66,24.981013477167,2.64200650067
270,"Old Pueblo Heights",74.5988014243,17,94.273669087096,0.180326067338
271,"Old Spanish Trail",79.2918828284,1,0.385282663531977,2.59549700688
272,"Palo Verde",96.3099297575,29,11.3070539360974,2.56477064352
273,"Palo Verde Park",78.528312966,25,9.66870252256826,2.58566234111
274,"Palo Verde Plaza",0,16,375.385132470214,0.0426228921074
275,"Panorama Estates",0,0,0,0.193266470657
276,"Pantano's Edge",79.4971316867,31,146.422671369572,0.211715847758
277,"Pantano Overlook",69.7821655848,12,28.9528729951595,0.414466640392
278,"Pantano Park",76.3784862886,72,299.176450212892,0.240660653433
279,"Pantano Parkview",75.4750032854,25,77.7417219507736,0.32157764676
280,"Pantano Ranch",94.2824732128,18,58.3782668397257,0.308333922441
281,"Pantano Vista",90.2190719791,40,121.702629769976,0.328669972667
282,"Park Place Mall",0,74,132.720456258973,0.557562881306
283,"Parkway Terrace",73.571418723,62,459.017783522272,0.135071019524
284,"Paseo De Las Iglesias",0,48,38.9867892337527,1.23118627985
285,"Paseo Estrella",85.2567571675,0,0,0.0625572079895
286,"Perrine Addition",0,73,856.144691131234,0.0852659611818
287,"Peter Howell",98.1541566525,5,3.84716324161423,1.29965891385
288,"Pie Allen",69.9492337914,6,12.6164906789363,0.475568060302
289,"Pima Medical Campus",82.6283318273,11,133.215490545306,0.0825729797261
290,"Pima Ridge",0,1,8.27366863868122,0.120865367429
291,"Pima Verde East",84.4760004949,11,66.5448782377514,0.165301978023
292,"Pima Verde West",88.3072369897,1,8.06422358507925,0.124004498319
293,"Pima West",0,47,40.8290287251067,1.15114176035
294,"Pio Decimo",86.1690689926,0,0,1.35664782581
295,"Plaza Del Sol",90.9271489996,12,30.5368561546789,0.392967761292
296,"Poets Square",89.2535432215,6,9.05550817669658,0.66258015375
297,"Prince Village",100,65,409.740933295709,0.158636823217
298,"Pueblo Gardens",57.3998139095,33,15.2517009422306,2.16369309397
299,"Pullman",73.7499206611,196,699.113656876969,0.280354986735
300,"Rainbow Vista Estates",94.0241557863,0,0,0.141457567449
301,"Rainbow Vista Estates Annex",80.5722531689,67,770.508690785693,0.0869555409319
302,"Rancho Bueno",72.9532700467,2,1.51911901160093,1.31655254442
303,"Rancho Cancion",79.299635339,30,15.8583886789542,1.89174326644
304,"Rancho De Colinas",100,18,144.619088995452,0.124464896889
305,"Rancho Esperero",94.2617850804,35,131.568856624232,0.266020401013
306,"Rancho Mirage",0,49,451.083042143175,0.108627448656
307,"Rancho Perdido Estates",0,1,7.99934856428238,0.125010179512
308,"Rancho Valencia",68.3013415384,31,22.5104617159335,1.37713745685
309,"Reddington Hills",72.4493175558,3,3.86430709363473,0.77633581579
310,"Reid - Randolph",0,11,5.67832421234602,1.93719125373
311,"Richland Heights East",93.0352776269,20,30.3173227767795,0.659688856673
312,"Richland Heights West",84.7454113327,2,3.03949810786239,0.658003370631
313,"Rieckers",0,8,50.0005980352778,0.15999808631
314,"Rillito",80.1756963167,4,5.11519040407389,0.781984576139
315,"Rillito Bend",89.9716453001,29,16.6558138726467,1.74113376997
316,"Rillito Park",70.2799952221,81,164.666943662754,0.491902006549
317,"Rillito Park 1",63.7155342636,4,10.5706896817292,0.378404826973
318,"Rillito Riverside",0,29,201.153305481002,0.144168647543
319,"Rincon - University",0,21,121.160121375548,0.173324355915
320,"Rincon Aviador",78.972491512,2,19.9202168296192,0.100400513564
321,"Rincon Country",78.0102572454,74,98.3905709248671,0.752104589946
322,"Rincon Heights",91.2738630638,0,0,0.835666477176
323,"Rincon Knolls",58.4185365886,0,0,0.702064009251
324,"Rio Rancho",79.2214451332,22,77.5475731816628,0.283696821156
325,"Rio Verde Village",0,15,40.2970805449169,0.372235402594
326,"Rita Ranch",62.0098541856,6,0.150937694768207,39.7515015001
327,"River Forest",100,12,280.369769891802,0.0428006200691
328,"River Terrace Annexation",0,13,Inf,0
329,"River View Estates",86.1088677934,85,302.264540770059,0.281210623593
330,"River Walk",73.3392438482,84,436.992787867528,0.192222852029
331,"Riverfront Plaza",0,31,324.891387177185,0.0954165029407
332,"Roberts",78.9171904926,1,0.912254359324658,1.0961854989
333,"Roger Park",76.6736557475,2,6.26833410110845,0.319064039622
334,"Rolling Hills",80.6158764886,3,1.46178271362995,2.05228860078
335,"Rose",66.065912597,28,22.2724690338005,1.25715743313
336,"Rose Hill",91.4187248892,1,2.9034236980546,0.344420967794
337,"Rosemont East",95.4839830547,89,568.361164311367,0.156590572313
338,"Rosemont Regency",0,209,5594.68444942753,0.0373568879334
339,"Rosemont West",81.6817780905,16,15.5736242365552,1.02737806929
340,"Ruston Hills",74.9685367375,17,46.0229166470002,0.36938119612
341,"Saddlewood Ranch",82.1662776172,35,31.4789407870567,1.11185443744
342,"Saguaro Canyon",83.4398891623,13,40.1023864020746,0.324170234401
343,"Saguaro Hill",88.8809389443,54,330.056103606688,0.163608548395
344,"Saguaro Miraflores",86.1100543414,63,89.4556137949596,0.704259881827
345,"Saguaro Trails",0,42,47.0477864861229,0.89270937353
346,"Saguaro Verde",96.1634209341,5,22.4150499531651,0.223064414777
347,"Saguaro Vista Shopping Center",0,31,539.987450136273,0.0574087416146
348,"Saint Phillips Plaza",0,77,2096.17347825841,0.0367336009155
349,"Sam Hughes",100,0,0,2.62125220696
350,"Samos",84.647338058,20,29.251112319264,0.683734682692
351,"San Carlos",98.3796495965,4,17.1360647685986,0.23342582174
352,"San Clemente",100,66,132.567234634764,0.497860577554
353,"San Clemente Park View",85.3423217226,48,251.821959403573,0.190610859012
354,"San Gabriel",90.4179300227,0,0,0.638484123749
355,"San Ignacio Yaqui",50.2535703149,12,19.7416352177896,0.60785238242
356,"San Rafael",0,5,30.0927739364966,0.166152844884
357,"Santa Cruz Southwest",66.4019185087,106,48.4411773455215,2.18822096837
358,"Santa Maria",0,36,329.035778515783,0.109410594077
359,"Santa Rita Park",63.5210637253,13,12.5330594619026,1.03725670811
360,"Santiago Hills",86.5239396706,14,19.5931542621241,0.714535281696
361,"Seneca Terrace",91.4344879808,32,140.953329647844,0.227025499007
362,"Sewell",82.5927650229,8,7.95133242094629,1.00612068223
363,"Sierra Estates",0,1,13.6244776480521,0.0733973093011
364,"Silver Creek",57.4938638914,1,1.27139972699295,0.786534697758
365,"Silver Hills Estates",0,121,642.98354931794,0.188185218935
366,"Silver Spur",0,35,201.024752801874,0.174107912146
367,"Silverbell Golf Course",59.4333076154,31,22.6087431183454,1.37115096747
368,"Silverbell Terrace",78.0292658207,21,163.177092280623,0.128694534916
369,"Silvercroft",68.0515920634,10,39.0123107935259,0.256329343138
370,"Sombras Del Cerro",0,33,427.861234652221,0.0771278099705
371,"Sonoran Place",0,3,26.7282082752257,0.112240969133
372,"South Harrison",78.513430601,2,0.456414354773511,4.38198312363
373,"South Park",52.4592349276,50,11.7401409176829,4.25889266156
374,"Southeast Fringe",0,100,125.481635112437,0.796929366679
375,"Southland Park",66.3282797935,142,206.139814407507,0.688852856534
376,"Southlands",0,6,0.0882869959737705,67.9601784365
377,"Southlands West",0,0,0,42.7091137163
378,"Speedtano",82.9389077227,0,0,0.11345123242
379,"Speedway and Silverbell",0,45,134.44749065873,0.334703160167
380,"St. Cyrils",93.2655459195,11,9.73587617241567,1.12984181446
381,"St. Joseph's Hospital",0,13,31.8065667974549,0.408720629384
382,"St. Mary's Medical Park",0,27,162.788375873449,0.165859508427
383,"Starr Pass",74.4177587127,58,7.23336063131169,8.01840291896
384,"Starr Pass and Greasewood",59.5856627373,1,0.416327814564914,2.40195337668
385,"Stella Mann",77.1348774696,37,23.1627723065817,1.59739082655
386,"Sugar Hill",72.4085582497,27,33.0730101403034,0.816375645442
387,"Summer Annexation District",0,19,Inf,0
388,"Sunnyside",71.2265693428,14,1.93361617660598,7.24032006423
389,"Sunset Shadows",89.7929723424,16,87.6862120187429,0.182468824136
390,"Sunset Villa",51.4058683424,224,244.640892494623,0.915627791069
391,"Swan Way Park",86.5632923857,13,20.0032359939289,0.649894847211
392,"Sycamore Park",80.7147975656,12,13.0955167182801,0.916344139613
393,"Tanglewood Terrace",0,6,41.2923265493609,0.145305447801
394,"Tanque Verde and Grant",0,47,391.631281654429,0.120010842345
395,"Tanque Verde and Grant (North)",0,13,243.822041910523,0.0533175749745
396,"Tanque Verde and Indian Ruins",0,55,452.792617483147,0.121468411534
397,"Tanque Verde and Pima",0,48,411.211699342923,0.116728196393
398,"Tanque Verde and Sabino Canyon",0,9,154.86505107081,0.0581151133698
399,"Tanque Verde and Sabino Creeks",0,28,51.5371712107105,0.543297184192
400,"Tanque Verde Bend",89.2442988714,33,37.3618653073134,0.883253545522
401,"Tanque Verde Country Estates",100,206,273.705625342135,0.752633416805
402,"Tanque Verde Creek",99.035395135,62,131.075092843045,0.473011299517
403,"Tanque Verde Place",0,24,401.31395200297,0.059803552506
404,"Tanque Verde Professional Plaza",0,31,552.5071033941,0.0561078759161
405,"Tanque Verde Trails",0,162,924.167702581785,0.175292860319
406,"Terra Del Sol",74.9536416526,43,16.6628559125953,2.58059003964
407,"The Crossing",0,84,130.704292254168,0.642672084836
408,"The Enclave",89.3380403553,21,177.301590437646,0.118442253948
409,"The Monaco",0,53,1314.75959930226,0.0403115520344
410,"The Triangle",0,21,539.599836138644,0.0389177286455
411,"Thomas Jay Park",0,4,1.71439898073958,2.33317917529
412,"Thunderbird Heights/Wilmot Desert Esta",86.4807187177,11,16.6806794180248,0.659445561199
413,"Tierra Vista",75.0278087213,6,19.5807120206449,0.306423994882
414,"Toumey Park",82.8618497574,21,29.622268293169,0.708926129227
415,"Tres Pueblos",55.1487936198,12,14.1448997181347,0.848362324168
416,"Tucson Airport Authority",0,64,8.03008344640698,7.9700292565
417,"Tucson Mall",56.5132640905,45,88.1312852859437,0.510601880524
418,"Tucson Medical Center",87.2342530234,37,48.4903358672338,0.763038641376
419,"Tucson Medical Park",0,80,328.851630689574,0.243270802192
420,"Tucson Park West #1",100,21,53.9879874570085,0.388975418221
421,"Udall Park",98.2820748519,16,65.2479854066047,0.245218299083
422,"University of Arizona",97.2005393934,24,21.8646724410178,1.09766108158
423,"University Villa",0,38,229.061753473587,0.165894128652
424,"Vactor Ranch",0,1,7.88740764904449,0.126784368768
425,"Valencia-Kolb",0,4,4.76863598081513,0.838814289053
426,"Valencia and Old Vail",0,42,18.4124660565287,2.28106326828
427,"Valencia Crossing",0,15,14.56733303358,1.02970117903
428,"Valencia Reserve",64.3504198152,0,0,0.677878043662
429,"Valle Trinidad",0,102,903.275091737891,0.112922409721
430,"Veteran's Hospital",48.5348761593,71,52.9090475750635,1.3419254977
431,"Villa Caprice Condominiums",100,215,1800.17995119923,0.119432504432
432,"Villa Serena",97.6453513542,37,346.100127818093,0.106905479155
433,"Villas at Hacienda Del Sol",77.2654204492,16,93.1596966932913,0.1717480903
434,"Vista Del Monte",98.3394225931,32,40.9520619962966,0.781401434753
435,"Vista Del Norte",82.1637310029,200,766.653593319939,0.260874013691
436,"Vista Del Pueblo",60.2634003986,22,89.4474892652815,0.24595436027
437,"Vista Del Rio",88.3873505853,1,4.57313318502904,0.21866846198
438,"Vista Del Rio 1",0,0,0,0.0606470868608
439,"Vista Del Rio 2",100,54,126.233453200377,0.42777883858
440,"Vista Del Sahuaro",77.8468032071,0,0,0.645736535685
441,"Vista Montana",73.8662808393,1,1.26436561363056,0.790910468633
442,"Wakefield",72.9420396159,30,18.33893072557,1.6358641869
443,"Warwick Village",84.0036292436,77,337.412876052602,0.228207058666
444,"West Branch Santa Cruz",81.930075487,57,130.886129821818,0.435493050926
445,"West Lamar",69.1975906848,46,118.656781307173,0.38767274397
446,"West University",97.4831233842,41,31.7615668231716,1.29086830723
447,"Western Hills",0,74,2225.16543572764,0.0332559542818
448,"Western Hills II",68.73325164,96,205.542640584448,0.467056371987
449,"Western States",58.6515965473,4,51.9207948170601,0.0770404230924
450,"Westridge Estates",93.0611200741,3,18.4484591867383,0.162615206486
451,"Westside Development",67.2844653561,14,2.22267819728428,6.29870757589
452,"Westwood Estates",86.7730255317,7,44.7039781089608,0.156585617122
453,"Whitmore",88.0552675444,66,707.400501295432,0.0932993401604
454,"Williams Center",82.2263822496,1,2.04888668419611,0.488069939501
455,"Wilmot",54.812742339,10,1.9975865904194,5.00604081343
456,"Wilmot and Old Vail",0,5,0.899513640878044,5.55855939563
457,"Wilmot Farms",52.4106250371,0,0,1.56963997566
458,"Wilmot Vista",74.7333837391,9,18.6110724206698,0.483583094868
459,"Wilshire Heights",96.7966738516,53,202.506612594226,0.261719848656
460,"Wilshire Terrace",0,9,126.28003577667,0.0712701730297
461,"Windsor Park",90.2999780995,18,48.4896696881671,0.371213087566
462,"Winterhaven",100,127,382.814264485047,0.3317535729
463,"Winterhaven Annex",98.6641015046,12,37.4549375996223,0.320384995118
464,"Woodland Hills",0,5,24.9437810417857,0.200450765328
465,"Woodland Villas",0,27,253.37893977347,0.106559763902
466,"Wrightstown Square",100,7,34.4835837866897,0.202995142364
